2025-08-11 08:54, success, collection: AI4SAR_SIG0, item: SIG0_20231227T165121_A146_EU020M_E051N015T3_S1AIWGRDH, message: Item valid
2025-08-11 08:54, success, collection: AUSTRIA_GROUND_MOTION, item: AT_EGMS_L3_U_2016_2023, message: Item valid
2025-08-11 08:54, success, collection: AUT_DEM, item: dhm_at_lamb_10m_2018, message: Item valid
2025-08-11 08:54, success, collection: BOA_LANDSAT_8, item: X0015Y0014_20201226, message: Item valid
2025-08-11 08:54, success, collection: BOA_SENTINEL_2, item: E048N012T1_20200930, message: Item valid
2025-08-11 08:54, success, collection: CGLS_SSM_1KM, item: CGLS_SSM1KM_20220404_EU1K0M_E060N012T6, message: Item valid
2025-08-11 08:54, success, collection: COP_DEM, item: DEM1_SAR_DGE_90_20190911T082839_20190911T082840_ADS_000000_3869, message: Item valid
2025-08-11 08:54, success, collection: CORINE_LAND_COVER, item: CLC2018_EU010M_E077N017T1, message: Item valid
2025-08-11 08:54, success, collection: DOP_AUT_K_KLAGENFURT, item: 5716-68, message: Item valid
2025-08-11 08:54, success, collection: DOP_AUT_K_OSTTIROL, item: 4321-59, message: Item valid
2025-08-11 08:54, success, collection: DOP_AUT_K_TAMSWEG, item: 4622-09, message: Item valid
2025-08-11 08:54, success, collection: DOP_AUT_K_VILLACH, item: 5120-49, message: Item valid
2025-08-11 08:54, success, collection: DOP_AUT_K_WOLFSBERG, item: 5821-79, message: Item valid
2025-08-11 08:54, success, collection: DOP_AUT_K_ZELL_AM_SEE, item: 4322-69, message: Item valid
2025-08-11 08:54, success, collection: DOP_AUT_K_ZELTWEG, item: 5622-38, message: Item valid
2025-08-11 08:54, success, collection: DROUGHT_VULNERABILITY, item: drought_vulnerability.tif, message: Item valid
2025-08-11 08:54, success, collection: DSM_AUT, item: Eisenstadt, message: Item valid
2025-08-11 08:54, success, collection: ERS_ENVISAT_NRB, item: ERS2_IMS_NRB__1SVV_20001117T101134_20001117T101203_029163_000000_FCAE_33VVK, message: Item valid
2025-08-11 08:54, failure, collection: GFM, item: ENSEMBLE_FLOOD_20240903T101240_VV_SA020M_E063N066T3, message: '1.0.0' was expected at ['stac_version'] (expected: 1.0.0)
2025-08-11 08:54, failure, collection: incal-hourly, item: N/A, message: No items found
2025-08-11 08:54, success, collection: INTRA_FIELD_CROP_GROWTH_POTENTIAL, item: yield_potential.tif, message: Item valid
2025-08-11 08:54, success, collection: point-cloud-vienna, item: wien_601000_534000.copc.laz, message: Item valid
2025-08-11 08:54, success, collection: RUCIO_SENTINEL2_MFCOVER, item: MFCOVER---_SEN2COR_S2-_L3A------_20221201_20221231_EU010M_E052N017T1, message: Item valid
